damage,date,day,deaths,focal_depth,hour,houses_damaged,houses_destroyed,id,intensity,location,magnitude,minute,missing,month,name,second,total_damage,total_deaths,total_houses_damaged,total_houses_destroyed,total_missing,year
,0478-09-25,25.0,,,,,,5888,9.0,POINT (29.1999999999999993 40.7999999999999972),,,,9.0,TURKEY:  MARMARA SEA,25.0,,,,,,478
,,,,,,,,121,10.0,POINT (35.5000000000000000 34.2999999999999972),,,,,LEBANON:  TARABULUS (TRIPOLIS); SYRIA,,,,,,,494
,0499-08-04,4.0,,,,,,8090,6.0,POINT (118.7999999999999972 32.1000000000000014),,,,8.0,CHINA:  JIANGSU PROVINCE,4.0,,,,,,499
,,,,20.0,,,,122,8.0,POINT (76.5000000000000000 42.7000000000000028),,,,,KAZAKHSTAN,,,,,,,500
,,,,,,,,123,8.0,POINT (125.2999999999999972 39.0000000000000000),,,,,NORTH KOREA:  PYONGYANG,,,,,,,501
,,,,,,,,124,8.0,POINT (129.0999999999999943 35.5000000000000000),,,,,SOUTH KOREA:  KYONGJU,,,,,,,510
,0512-05-21,21.0,5130.0,,,,,125,10.0,POINT (113.2999999999999972 39.3999999999999986),,,,5.0,CHINA:  SHAANXI PROVINCE:  YINGXIAN,21.0,,5130.0,,,,512
,,,,,,,,126,12.0,POINT (21.3999999999999986 42.0000000000000000),,,,,"BALKANS NW:  MACEDONIA:  SKOPJE, STAMER",,,,,,,518
,,,,,,,,128,,POINT (21.1999999999999993 39.6000000000000014),,,,,"GREECE:  DURRES,KORINTHOS",,,,,,,521
,,,,,,,,129,10.0,POINT (36.1000000000000014 36.2000000000000028),,,,,SYRIA,,,,,,,522
,,,,,,,,130,10.0,POINT (19.3000000000000007 41.2000000000000028),,,,,ALBANIA:  DURRES,,,,,,,522
,0525-05-29,29.0,250000.0,,,,,131,9.0,POINT (36.1000000000000014 36.2500000000000000),,,,5.0,"TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG",29.0,,250000.0,,,,525
,,,,,,,,132,10.0,POINT (20.8000000000000007 40.1000000000000014),,,,,GREECE-ALBANIA,,,,,,,527
,0528-11-29,29.0,4870.0,,,,,134,10.0,POINT (36.1000000000000014 36.2500000000000000),,,,11.0,TURKEY:  ANTAKYA (ANTIOCH),29.0,,4870.0,,,,528
,0533-11-29,29.0,130000.0,,,,,136,,POINT (37.2000000000000028 36.2000000000000028),,,,11.0,SYRIA:  ALEPPO,29.0,,130000.0,,,,533
,,,,,,,,5889,10.0,POINT (27.8000000000000007 40.2999999999999972),,,,,TURKEY:  CYZICUS,,,,,,,543
,,,,,,,,10058,,,,,,4.0,GREECE:  MALIAKOS GULF,,,,,,,551
,0551-07-07,7.0,5000.0,,,,,138,9.0,POINT (22.3000000000000007 38.3999999999999986),,,,7.0,"GREECE:  SCHISMA, BOETIA",7.0,,5000.0,,,,551
,0551-07-09,9.0,,,,,,139,10.0,POINT (35.5000000000000000 33.8999999999999986),,,,7.0,LEBANON:  BAYRUT (BEIRUT); EGYPT; IRAQ;SAUDI ARABIA,9.0,,,,,,551
,0552-07-09,9.0,,,,,,140,10.0,POINT (37.1000000000000014 36.1000000000000014),,,,7.0,SYRIA:  HALAB (ALEPPO); TURKEY:  ANTAKYA (ANTIOCH),9.0,,,,,,552
,0553-07-09,9.0,,,,,,141,10.0,POINT (35.5000000000000000 33.8999999999999986),,,,7.0,LEBANON:  BAYRUT (BEIRUT),9.0,,,,,,553
,0554-08-15,15.0,,,,,,5892,,POINT (27.5000000000000000 36.5000000000000000),,,,8.0,TURKEY: MANDELIA,15.0,,,,,,554
,0555-08-15,15.0,,,,,,143,10.0,POINT (28.9800000000000004 41.0399999999999991),,,,8.0,TURKEY:  ISTANBUL (CONSTANTINOPLE),15.0,,,,,,555
,0557-07-09,9.0,,,,,,145,10.0,POINT (36.1000000000000014 36.1000000000000014),,,,7.0,TURKEY:  ANTAKYA (ANTIOCH),9.0,,,,,,557
